Day ,Outlook ,Temp. ,Humidity ,Wind ,PlaySoccer? 
1,Overcast ,Mild ,Normal ,Strong ,No 
2,Sunny ,Hot ,High ,Weak ,No 
3,Rain ,Mild ,Normal ,Weak ,Yes 
4,Sunny ,Hot ,High ,Strong ,No 
5,Rain ,Cool ,Normal ,Strong ,No 
6,Overcast ,Hot ,High ,Weak ,Yes 
7,Rain ,Cool ,High ,Weak ,Yes 
8,Rain ,Mild ,High ,Weak ,Yes 
9,Sunny ,Mild ,High ,Weak ,Yes 
10,Rain ,Cool ,Normal ,Weak ,Yes 
11,Rain ,Cool ,High ,Strong ,No 
12,Rain ,Cool ,Normal ,Strong ,No 
13,Sunny ,Mild ,High ,Strong ,No 
14,Overcast ,Cool ,Normal ,Strong ,Yes 
15,Sunny ,Mild ,Normal ,Weak ,Yes 
16,Sunny ,Mild ,High ,Weak ,No 
17,Overcast ,Mild ,Normal ,Strong ,No 
18,Sunny ,Cool ,Normal ,Weak ,Yes 
19,Sunny ,Hot ,High ,Strong ,Yes 
20,Rain ,Mild ,Normal ,Weak ,No 
21,Overcast ,Cool ,High ,Strong ,No 
22,Sunny ,Mild ,Normal ,Strong ,Yes 
23,Overcast ,Cool ,High ,Weak ,Yes 
24,Overcast ,Mild ,High ,Strong ,Yes 
25,Overcast ,Mild ,High ,Weak ,Yes 
26,Overcast ,Hot ,Normal ,Weak ,Yes 
27,Sunny ,Hot ,Normal ,Strong ,No 
28,Rain ,Mild ,High ,Strong ,No 
29,Sunny ,Hot ,High ,Weak ,Yes 
30,Sunny ,Mild ,Normal ,Weak ,Yes 
31,Sunny ,Mild ,Normal ,Strong ,No 
32,Sunny ,Hot ,High ,Weak ,Yes 
33,Sunny ,Hot ,High ,Weak ,Yes 
34,Overcast ,Hot ,Normal ,Strong ,No 
35,Overcast ,Hot ,High ,Strong ,No 
36,Sunny ,Mild ,High ,Strong ,No 
37,Rain ,Mild ,Normal ,Weak ,Yes 
38,Rain ,Hot ,Normal ,Weak ,Yes 
39,Sunny ,Hot ,Normal ,Strong ,No 
40,Sunny ,Hot ,High ,Strong ,Yes 
41,Overcast ,Mild ,High ,Strong ,No 
42,Overcast ,Mild ,Normal ,Weak ,Yes 
43,Rain ,Mild ,Normal ,Weak ,No 
44,Sunny ,Hot ,High ,Strong ,No 
45,Sunny ,Mild ,High ,Strong ,No 
46,Sunny ,Hot ,High ,Weak ,Yes 
47,Overcast ,Mild ,Normal ,Weak ,Yes 
48,Overcast ,Mild ,High ,Strong ,No 
49,Overcast ,Mild ,Normal ,Strong ,Yes 
50,Sunny ,Hot ,Normal ,Weak ,Yes 
51,Rain ,Mild ,High ,Strong ,No 
52,Rain ,Hot ,Normal ,Strong ,No 
53,Overcast ,Hot ,Normal ,Strong ,Yes 
54,Rain ,Mild ,High ,Weak ,No 
55,Sunny ,Hot ,High ,Weak ,Yes 
56,Sunny ,Hot ,High ,Weak ,Yes 
57,Rain ,Mild ,Normal ,Strong ,No 
58,Overcast ,Hot ,Normal ,Weak ,Yes 
59,Sunny ,Hot ,Normal ,Weak ,Yes 
60,Sunny ,Mild ,High ,Strong ,No 
